STUDY_ID	SAMPLE_ID	AKT1	AKT2	AKT3	MAP3K1	MAP3K2	MAP3K3
blca_tcga_pub_2017	TCGA-E7-A5KE-01	-0.1952	1.5475	-0.8888	-0.161	-0.7134	0.3213
blca_tcga_pub_2017	TCGA-E7-A5KF-01	0.7237	-0.0636	-0.2466	-0.4533	0.3565	-1.095
blca_tcga_pub_2017	TCGA-FD-A5BY-01	2.6227	3.3109	-0.5617	-0.4461	0.3509	0.1326
blca_tcga_pub_2017	TCGA-FD-A5BZ-01	-0.3835	1.7189	0.3602	-0.8228	-0.0776	1.3476
blca_tcga_pub_2017	TCGA-FD-A5C0-01	-1.073	0.6448	-0.4628	-0.2247	-0.3785	-0.0599
blca_tcga_pub_2017	TCGA-FD-A5C1-01	-1.7847	-1.5824	-0.0567	0.0645	-1.1012	0.1838
blca_tcga_pub_2017	TCGA-HQ-A5NE-01	-0.3556	0.7607	-0.2711	-0.1526	1.5142	0.6424
blca_tcga_pub_2017	TCGA-K4-A4AB-01	0.4727	2.2696	0.1506	-0.7415	0.9349	0.346
blca_tcga_pub_2017	TCGA-K4-A5RI-01	1.2924	-0.247	-0.5621	-0.8337	0.5539	0.9945
blca_tcga_pub_2017	TCGA-K4-A5RJ-01	-1.1145	6.5901	0.3622	0.3596	-0.2318	2.8282
blca_tcga_pub_2017	TCGA-LT-A5Z6-01	0.7234	-1.3105	1.3678	-0.0497	-1.0598	-0.073
blca_tcga_pub_2017	TCGA-BL-A5ZZ-01	0.9024	-0.4438	1.6367	-0.6344	0.0145	1.5828
blca_tcga_pub_2017	TCGA-DK-A6AV-01	-1.0434	4.5987	-0.6916	-0.354	-1.0534	-0.268
blca_tcga_pub_2017	TCGA-DK-A6AW-01	0.5659	-1.0911	-0.6219	-0.8959	-1.0125	1.2617
blca_tcga_pub_2017	TCGA-DK-A6B1-01	0.1014	0.1428	1.6884	-0.4091	-0.8065	-0.4879
blca_tcga_pub_2017	TCGA-DK-A6B2-01	-0.9133	-0.6519	0.7119	-0.3407	-0.0027	0.179
blca_tcga_pub_2017	TCGA-DK-A6B6-01	-0.7946	-0.8979	-0.8385	-0.6757	-0.6694	-0.6388
blca_tcga_pub_2017	TCGA-E7-A677-01	-1.3011	0.4564	-0.2737	3.5369	0.3266	0.2869
blca_tcga_pub_2017	TCGA-E7-A678-01	-0.4824	-0.4716	-0.9402	-0.9572	-1.3098	-0.3369
blca_tcga_pub_2017	TCGA-FD-A62N-01	0.2077	0.5973	0.6133	-0.5331	-0.7291	2.0525
blca_tcga_pub_2017	TCGA-FD-A62O-01	-1.0259	0.0399	-0.5249	-0.4709	0.1124	-1.3524
blca_tcga_pub_2017	TCGA-FD-A62P-01	-0.8347	2.5047	-0.2665	0.147	-0.5566	0.0239
blca_tcga_pub_2017	TCGA-FD-A62S-01	2.6825	1.2292	0.7914	-0.0847	1.6675	1.4234
blca_tcga_pub_2017	TCGA-FT-A61P-01	0.2746	0.5488	1.5457	-1.0992	-0.572	1.8654
blca_tcga_pub_2017	TCGA-K4-A5RH-01	-0.0307	0.7524	1.8874	-0.5136	-0.3367	4.7564
blca_tcga_pub_2017	TCGA-LC-A66R-01	-0.6511	-2.1609	2.1256	1.2892	-0.1221	1.8506
blca_tcga_pub_2017	TCGA-R3-A69X-01	-0.765	1.0113	0.287	0.1742	0.9054	0.542
blca_tcga_pub_2017	TCGA-DK-A6B0-01	0.0375	-0.4954	-0.8505	-0.8132	-1.0381	-0.5429
blca_tcga_pub_2017	TCGA-DK-A6B5-01	1.3309	0.8042	-0.7309	-0.1251	0.1763	0.0834
blca_tcga_pub_2017	TCGA-E5-A4TZ-01	-0.363	3.8635	-0.6954	0.9286	-0.1074	0.1325
blca_tcga_pub_2017	TCGA-E5-A4U1-01	-1.7857	2.253	-0.9157	-0.6719	-1.278	-0.5345
blca_tcga_pub_2017	TCGA-GC-A6I1-01	-1.0858	0.3527	-0.5147	-0.8055	-0.2567	-0.1859
blca_tcga_pub_2017	TCGA-GC-A6I3-01	0.5095	2.0989	-0.6321	-1.2619	-1.4932	-1.1829
blca_tcga_pub_2017	TCGA-GD-A6C6-01	-0.7704	-2.4825	-0.9825	-1.4107	-1.7251	-1.5336
blca_tcga_pub_2017	TCGA-K4-A6FZ-01	-0.7659	-0.2954	-0.2845	-0.2136	1.2746	-0.4564
blca_tcga_pub_2017	TCGA-K4-A6MB-01	-0.228	-0.3491	-0.4738	-0.4569	0.0426	0.0911
blca_tcga_pub_2017	TCGA-PQ-A6FI-01	-0.5411	-0.5475	1.3946	0.4899	-0.1578	0.0424
blca_tcga_pub_2017	TCGA-PQ-A6FN-01	0.3088	0.1845	-0.6333	-1.033	-0.5359	-0.1758
blca_tcga_pub_2017	TCGA-S5-A6DX-01	-0.9662	-0.1389	-0.4247	-0.3459	-1.2934	-0.944
blca_tcga_pub_2017	TCGA-E7-A6ME-01	-2.1216	0.2747	5.2735	-0.0333	-0.099	0.0108
blca_tcga_pub_2017	TCGA-E7-A6MF-01	1.357	0.5737	0.0796	3.9662	1.3419	1.01
blca_tcga_pub_2017	TCGA-E7-A7DU-01	0.0371	2.9938	-0.6965	-1.1179	-1.3571	-0.7166
blca_tcga_pub_2017	TCGA-FD-A6TF-01	0.8921	2.7535	1.8806	0.4205	-0.6406	1.8811
blca_tcga_pub_2017	TCGA-FD-A6TG-01	0.3208	0.172	0.7742	-0.8218	-0.1531	2.2883
blca_tcga_pub_2017	TCGA-FD-A6TH-01	-1.1417	8.0354	2.587	2.3049	-0.8874	0.9909
blca_tcga_pub_2017	TCGA-FD-A6TI-01	-1.045	0.0879	-0.1459	-0.971	0.1785	0.2495
blca_tcga_pub_2017	TCGA-GD-A76B-01	-1.3201	2.6331	0.213	-1.01	-0.4829	-0.1914
blca_tcga_pub_2017	TCGA-GU-A763-01	0.5484	0.699	-0.9256	-1.1829	-1.2572	-1.3853
blca_tcga_pub_2017	TCGA-GU-A766-01	-1.2647	-0.7663	0.3676	-0.6585	-0.9043	-0.1305
blca_tcga_pub_2017	TCGA-GU-A767-01	-0.3023	12.3616	-0.3673	-1.3412	-1.4327	-0.5978
blca_tcga_pub_2017	TCGA-CU-A72E-01	0.9936	1.7548	-0.3643	0.3713	0.2998	-0.3151
blca_tcga_pub_2017	TCGA-E7-A7DV-01	-0.2872	-1.8828	-0.853	-0.7485	-1.1087	0.3444
blca_tcga_pub_2017	TCGA-FD-A6TA-01	-1.9991	-1.0981	-0.0914	-0.6254	-0.1135	-0.2142
blca_tcga_pub_2017	TCGA-FD-A6TB-01	-0.7607	3.3739	0.127	0.281	-0.2587	0.887
blca_tcga_pub_2017	TCGA-FD-A6TC-01	-0.0939	-0.4954	0.6971	-1.0439	-0.8003	0.1046
blca_tcga_pub_2017	TCGA-FD-A6TD-01	0.6945	-0.711	0.3211	-0.0914	0.022	0.4453
blca_tcga_pub_2017	TCGA-FD-A6TE-01	-0.0984	-0.2869	-0.1298	0.9332	-0.8989	0.5727
blca_tcga_pub_2017	TCGA-FD-A6TK-01	0.1062	1.9876	3.2008	-0.8563	0.775	0.8161
blca_tcga_pub_2017	TCGA-GU-A762-01	2.1612	-0.6261	-0.5628	-1.0073	-0.861	0.8291
blca_tcga_pub_2017	TCGA-GV-A6ZA-01	-1.7056	2.8835	-0.8375	-0.8961	-0.822	-1.0735
blca_tcga_pub_2017	TCGA-KQ-A41N-01	0.8949	1.0597	-0.8214	-1.0741	-1.5507	-1.4172
blca_tcga_pub_2017	TCGA-KQ-A41P-01	-0.1166	1.6002	-0.4865	-0.9936	-1.163	-0.2534
blca_tcga_pub_2017	TCGA-KQ-A41Q-01	-1.5433	-0.8283	-0.8175	-0.9123	-0.4403	-0.6876
blca_tcga_pub_2017	TCGA-KQ-A41S-01	0.4516	-1.1512	0.0693	2.621	-0.678	0.9573
blca_tcga_pub_2017	TCGA-UY-A78K-01	-0.4834	0.8396	1.3118	0.082	-0.9351	0.2076
