STUDY_ID	SAMPLE_ID	AKT1	AKT2	AKT3	MAP3K1	MAP3K2	MAP3K3
blca_tcga_pub_2017	TCGA-GC-A6I1-01	-0.8174	-0.0463	-0.3102	-0.6427	0.0982	-0.036
blca_tcga_pub_2017	TCGA-GC-A6I3-01	0.6687	0.8505	-0.5734	-1.9574	-2.2295	-1.528
blca_tcga_pub_2017	TCGA-GD-A6C6-01	-0.4689	-2.4766	-3.5764	-2.7878	-3.5608	-2.4397
blca_tcga_pub_2017	TCGA-K4-A6FZ-01	-0.4642	-0.458	0.0582	0.2477	1.2184	-0.3524
blca_tcga_pub_2017	TCGA-K4-A6MB-01	0.0593	-0.4947	-0.2333	-0.063	0.3821	0.2471
blca_tcga_pub_2017	TCGA-PQ-A6FI-01	-0.2358	-0.6342	1.2023	0.9135	0.1972	0.1999
blca_tcga_pub_2017	TCGA-PQ-A6FN-01	0.5131	-0.148	-0.5766	-1.1713	-0.2169	-0.0251
blca_tcga_pub_2017	TCGA-S5-A6DX-01	-0.6811	-0.3535	-0.1486	0.0861	-1.5741	-1.0694
blca_tcga_pub_2017	TCGA-E7-A6ME-01	-2.2954	-0.093	2.1133	0.4453	0.2536	0.1687
blca_tcga_pub_2017	TCGA-E7-A6MF-01	1.2583	0.0825	0.4481	2.5208	1.2542	0.9899
blca_tcga_pub_2017	TCGA-E7-A7DU-01	0.2908	1.2263	-0.7566	-1.4214	-1.7573	-0.7062
blca_tcga_pub_2017	TCGA-FD-A6TF-01	0.9473	1.1298	1.3771	0.8585	-0.3518	1.52
blca_tcga_pub_2017	TCGA-FD-A6TG-01	0.5227	-0.1557	0.9185	-0.6754	0.2018	1.7302
blca_tcga_pub_2017	TCGA-FD-A6TH-01	-0.8831	2.7677	1.5846	1.9371	-0.7191	0.9767
blca_tcga_pub_2017	TCGA-FD-A6TI-01	-0.7704	-0.208	0.2261	-1.0098	0.497	0.3941
blca_tcga_pub_2017	TCGA-GD-A76B-01	-1.1011	1.0803	0.5585	-1.1094	-0.1525	-0.042
blca_tcga_pub_2017	TCGA-GU-A763-01	0.6981	0.1533	-2.1076	-1.6422	-1.4781	-2.008
blca_tcga_pub_2017	TCGA-GU-A766-01	-1.0318	-0.7956	0.6721	-0.3731	-0.7474	0.0236
blca_tcga_pub_2017	TCGA-GU-A767-01	-0.0086	3.6676	-0.0584	-2.3485	-2.0034	-0.5376
blca_tcga_pub_2017	TCGA-CU-A72E-01	1.0176	0.6931	-0.0539	0.8184	0.5934	-0.1816
blca_tcga_pub_2017	TCGA-E7-A7DV-01	0.0053	-1.7815	-1.4492	-0.5329	-1.1322	0.4778
blca_tcga_pub_2017	TCGA-FD-A6TA-01	-2.0841	-1.0575	0.2848	-0.318	0.2398	-0.0671
blca_tcga_pub_2017	TCGA-FD-A6TB-01	-0.4587	1.3731	0.4888	0.7421	0.0961	0.9037
blca_tcga_pub_2017	TCGA-FD-A6TC-01	0.1782	-0.597	0.8764	-1.2014	-0.5803	0.26
blca_tcga_pub_2017	TCGA-FD-A6TD-01	0.8062	-0.754	0.6393	0.3841	0.364	0.5634
blca_tcga_pub_2017	TCGA-FD-A6TE-01	0.1744	-0.4523	0.2438	1.2275	-0.7383	0.667
blca_tcga_pub_2017	TCGA-FD-A6TK-01	0.3487	0.8005	1.734	-0.7469	0.9263	0.8525
blca_tcga_pub_2017	TCGA-GU-A762-01	1.7382	-0.6912	-0.4092	-1.1023	-0.6758	0.862
blca_tcga_pub_2017	TCGA-GV-A6ZA-01	-1.6247	1.1824	-1.3534	-0.8333	-0.6138	-1.3062
blca_tcga_pub_2017	TCGA-KQ-A41N-01	0.9493	0.3484	-1.2625	-1.2875	-2.4761	-2.0941
blca_tcga_pub_2017	TCGA-KQ-A41P-01	0.1584	0.6197	-0.2565	-1.0668	-1.2507	-0.1109
blca_tcga_pub_2017	TCGA-KQ-A41Q-01	-1.3945	-0.8428	-1.2419	-0.87	-0.1024	-0.6638
blca_tcga_pub_2017	TCGA-KQ-A41S-01	0.6246	-1.1015	0.439	2.0651	-0.4027	0.9533
blca_tcga_pub_2017	TCGA-UY-A78K-01	-0.1795	0.2308	1.169	0.5605	-0.8002	0.3562
blca_tcga_pub_2017	TCGA-UY-A78L-01	-0.869	1.3101	-0.4936	2.1526	0.4931	-0.3159
blca_tcga_pub_2017	TCGA-UY-A78N-01	0.7218	-0.3506	-0.6041	0.5062	-2.0371	0.009
