,cell line,condition,io_ratio
434,J82,"['~JNK', '~FGFR3', '~TAOK']",0.0
435,J82,"['~JNK', '~MAP3K1_3', '~PLCG']",0.0
436,J82,"['~JNK', '~MAP3K1_3', '~PPP2CA']",0.0
437,J82,"['~JNK', '~MAP3K1_3', '~RAS']",0.0
438,J82,"['~JNK', '~MAP3K1_3', '~SOS']",0.0
439,J82,"['~JNK', '~MAP3K1_3', '~ATF2']",0.0
440,J82,"['~JNK', '~MAP3K1_3', '~ATM']",0.0
441,J82,"['~JNK', '~MAP3K1_3', '~ELK1']",0.0
442,J82,"['~JNK', '~MAP3K1_3', '~FOS']",0.0
443,J82,"['~JNK', '~MAP3K1_3', '~FRS2']",0.0
444,J82,"['~JNK', '~MAP3K1_3', '~GAB1']",0.0
