,model,network_idx,size_of_network,num_link,C0,C1,C2,C3,robustness_pa,robustness_ip,empty_io_ratio,deterministic_io_ratio,redundancy,num_input,num_output,num_wccs,norm_num_wccs,len_largest_wcc,norm_len_largest_wcc,type,avg_len_wcc,reversibility
450,death,31,28,43,25,1,0,2,0.7321428571428571,0.8928571428571429,0.0,0.3333333333333333,1.3333333333333333,3.0,3.0,9,0.1551724137931034,45,1.6071428571428572,random,,0.9285714285714286
451,death,19,28,44,16,6,2,4,0.6785714285714286,0.820556640625,0.5,0.1666666666666666,5.0,3.0,3.0,10,0.1724137931034483,44,1.5714285714285714,random,,0.8571428571428572
452,death,7,28,44,10,7,1,10,0.7142857142857143,0.8928571428571429,0.0,0.4166666666666667,1.3076923076923077,3.0,3.0,11,0.1896551724137931,22,0.7857142857142857,random,,0.6428571428571428
456,death,79,28,44,21,3,0,4,0.75,0.8566545758928571,0.75,0.0833333333333333,1.3333333333333333,3.0,3.0,14,0.2413793103448276,37,1.3214285714285714,random,,0.8571428571428572
457,death,24,28,42,25,1,0,2,0.7321428571428571,0.8571428571428571,0.0,0.3333333333333333,1.0,3.0,3.0,12,0.2068965517241379,40,1.4285714285714286,random,,0.9285714285714286
463,death,6,28,44,20,3,0,5,0.75,0.8928571428571429,0.5,0.1666666666666666,10.333333333333334,3.0,3.0,13,0.2241379310344827,42,1.5,random,,0.8214285714285714
464,death,77,28,44,17,4,0,7,0.6964285714285714,0.8928571428571429,0.0,0.3333333333333333,9.333333333333334,3.0,3.0,10,0.1724137931034483,42,1.5,random,,0.75
466,death,93,28,43,20,3,0,5,0.7857142857142857,0.8928571428571429,0.25,0.25,1.3333333333333333,3.0,3.0,12,0.2068965517241379,45,1.6071428571428572,random,,0.8214285714285714
469,death,75,28,44,18,4,0,6,0.7559523809523808,0.8928571428571429,0.5,0.1666666666666666,2.0,3.0,3.0,14,0.2413793103448276,40,1.4285714285714286,random,,0.7857142857142857
472,death,4,28,44,22,1,0,5,0.6964285714285714,0.7758091517857143,0.5,0.1666666666666666,4.333333333333333,3.0,3.0,13,0.2241379310344827,29,1.0357142857142858,random,,0.8214285714285714
473,death,47,28,44,21,5,0,2,0.7321428571428571,0.833740234375,0.5,0.1666666666666666,4.666666666666667,3.0,3.0,11,0.1896551724137931,45,1.6071428571428572,random,,0.9285714285714286
474,death,91,28,43,19,5,0,4,0.7232142857142857,0.8928571428571429,0.5,0.1666666666666666,3.6666666666666665,3.0,3.0,12,0.2068965517241379,43,1.5357142857142858,random,,0.8571428571428572
475,death,30,28,43,21,1,0,6,0.6607142857142857,0.86669921875,0.5,0.1666666666666666,1.3333333333333333,3.0,3.0,9,0.1551724137931034,25,0.8928571428571429,random,,0.7857142857142857
482,death,73,28,44,16,9,0,3,0.4613095238095238,0.6933244977678571,0.5,0.1666666666666666,3.0,3.0,3.0,13,0.2241379310344827,41,1.4642857142857142,random,,0.8928571428571429
487,death,21,28,43,19,5,0,4,0.6964285714285714,0.8860212053571429,0.5,0.1666666666666666,8.666666666666666,3.0,3.0,11,0.1896551724137931,47,1.6785714285714286,random,,0.8571428571428572
489,death,88,28,44,18,3,1,6,0.75,0.8573521205357143,0.5,0.1666666666666666,2.0,3.0,3.0,15,0.2586206896551724,20,0.7142857142857143,random,,0.7857142857142857
490,death,71,28,44,16,4,0,8,0.5833333333333334,0.7583356584821429,0.5,0.1666666666666666,18.33333333333333,3.0,3.0,11,0.1896551724137931,42,1.5,random,,0.7142857142857143
492,death,87,28,44,18,6,0,4,0.7857142857142857,0.8928571428571429,0.5,0.1666666666666666,4.666666666666667,3.0,3.0,11,0.1896551724137931,46,1.6428571428571428,random,,0.8571428571428572
