,model,network_idx,size_of_network,num_link,C0,C1,C2,C3,robustness_pa,robustness_ip,empty_io_ratio,deterministic_io_ratio,redundancy,num_input,num_output
198,apoptosis,52,41,71,41,0,0,0,0.7926829268292683,0.9458126905487805,1.0,0.0,-1,2.0,1.0
199,apoptosis,6,41,72,41,0,0,0,0.7682926829268293,0.9512195121951219,1.0,0.0,-1,2.0,1.0
200,bt474_short,99,16,31,5,3,0,8,0.5,0.63348388671875,0.25,0.5,4.052631578947368,5.0,2.0
201,bt474_short,82,16,34,4,7,0,5,0.796875,0.6875,0.8125,0.09375,7.6,5.0,2.0
202,bt474_short,9,16,31,16,0,0,0,0.65625,0.6240234375,1.0,0.0,-1,5.0,2.0
203,bt474_short,65,16,30,9,3,0,4,0.71875,0.63836669921875,0.5,0.25,3.4,5.0,2.0
204,bt474_short,10,16,34,8,4,0,4,0.625,0.6309814453125,0.75,0.125,10.0,5.0,2.0
205,bt474_short,98,16,31,6,5,0,5,0.5625,0.6875,0.0,0.75,4.266666666666667,5.0,2.0
206,bt474_short,81,16,33,16,0,0,0,0.46875,0.60675048828125,1.0,0.0,-1,5.0,2.0
207,bt474_short,64,16,34,11,3,0,2,0.4375,0.5789794921875,1.0,0.0,-1,5.0,2.0
208,bt474_short,97,16,34,7,7,0,2,0.6875,0.6875,0.0,1.0,8.777777777777779,5.0,2.0
209,bt474_short,80,16,32,10,2,0,4,0.90625,0.6519775390625,0.5,0.25,11.2,5.0,2.0
210,bt474_short,63,16,31,4,6,0,6,0.765625,0.68304443359375,0.0,0.8125,3.1384615384615384,5.0,2.0
211,bt474_short,11,16,31,6,5,0,5,0.59375,0.64886474609375,0.0,0.9375,5.745762711864407,5.0,2.0
212,bt474_short,96,16,33,3,4,0,9,0.5625,0.60498046875,0.0,0.875,2.5483870967741935,5.0,2.0
213,bt474_short,79,16,30,11,2,0,3,0.90625,0.6875,0.5,0.25,6.75,5.0,2.0
214,bt474_short,62,16,33,13,1,0,2,0.65625,0.63555908203125,0.0,0.5,4.4,5.0,2.0
215,bt474_short,95,16,30,7,5,0,4,0.6875,0.6875,0.5,0.5,7.0,5.0,2.0
216,bt474_short,78,16,30,6,3,0,7,0.6875,0.67352294921875,0.0,0.96875,2.4838709677419355,5.0,2.0
217,bt474_short,61,16,32,1,6,0,9,0.5,0.654296875,0.09375,0.84375,4.881481481481481,5.0,2.0
218,bt474_short,94,16,32,2,6,0,8,0.4737723214285714,0.671142578125,0.4375,0.40625,4.6,5.0,2.0
219,bt474_short,7,16,33,10,5,0,1,0.625,0.63397216796875,0.0,0.5,3.6,5.0,2.0
220,bt474_short,77,16,34,7,6,0,3,0.8125,0.6712646484375,0.0,0.5,4.0,5.0,2.0
221,bt474_short,60,16,31,8,3,0,5,0.75,0.6875,0.375,0.3125,7.4,5.0,2.0
222,bt474_short,13,16,28,15,0,0,1,0.546875,0.597412109375,1.0,0.0,-1,5.0,2.0
223,bt474_short,93,16,32,8,2,0,6,0.59375,0.6875,0.125,0.4375,4.0,5.0,2.0
224,bt474_short,76,16,34,2,6,0,8,0.65625,0.64044189453125,0.375,0.3125,11.6,5.0,2.0
225,bt474_short,59,16,32,13,2,0,1,0.65625,0.6875,0.0,0.5,3.0,5.0,2.0
226,bt474_short,92,16,32,3,4,0,9,0.5625,0.6875,0.5625,0.21875,8.4,5.0,2.0
227,bt474_short,75,16,32,3,7,0,6,0.65625,0.64776611328125,0.25,0.375,6.4,5.0,2.0
228,bt474_short,14,16,31,3,5,0,8,0.5729166666666667,0.62677001953125,0.3125,0.34375,5.6,5.0,2.0
229,bt474_short,91,16,34,5,5,0,6,0.59375,0.60137939453125,0.0,0.875,5.0285714285714285,5.0,2.0
230,bt474_short,74,16,30,16,0,0,0,0.78125,0.6875,1.0,0.0,-1,5.0,2.0
