,model,network_idx,num_wccs,norm_num_wccs,len_largest_wcc,norm_len_largest_wcc
528,hcc1954_short,35,15,0.4411764705882353,12,0.75
529,hcc1954_short,81,14,0.4117647058823529,12,0.75
530,hcc1954_short,33,15,0.4411764705882353,15,0.9375
531,hcc1954_short,36,12,0.375,10,0.625
532,hcc1954_short,54,16,0.47058823529411764,12,0.75
533,hcc1954_short,38,17,0.5,9,0.5625
534,hcc1954_short,29,18,0.5294117647058824,8,0.5
535,hcc1954_short,20,16,0.47058823529411764,11,0.6875
536,hcc1954_short,40,18,0.5294117647058824,5,0.3125
537,hcc1954_short,74,18,0.5294117647058824,10,0.625
538,hcc1954_short,82,17,0.5,9,0.5625
539,hcc1954_short,83,15,0.46875,10,0.625
540,hcc1954_short,31,16,0.47058823529411764,10,0.625
541,hcc1954_short,42,14,0.4117647058823529,16,1.0
542,hcc1954_short,23,17,0.53125,13,0.8125
543,hcc1954_short,41,15,0.4411764705882353,13,0.8125
544,hcc1954_short,56,19,0.5588235294117647,6,0.375
545,hcc1954_short,77,18,0.5294117647058824,6,0.375
546,hcc1954_short,34,20,0.5882352941176471,8,0.5
547,hcc1954_short,28,15,0.4411764705882353,19,1.1875
548,hcc1954_short,78,19,0.5588235294117647,7,0.4375
549,hcc1954_short,92,18,0.5294117647058824,11,0.6875
550,hcc1954_short,11,14,0.4117647058823529,11,0.6875
551,hcc1954_short,18,16,0.47058823529411764,15,0.9375
552,hcc1954_short,14,18,0.5294117647058824,7,0.4375
553,hcc1954_short,94,17,0.5,11,0.6875
554,hcc1954_short,67,13,0.40625,14,0.875
555,hcc1954_short,16,16,0.47058823529411764,10,0.625
556,hcc1954_short,43,17,0.5,9,0.5625
557,hcc1954_short,85,20,0.5882352941176471,5,0.3125
558,hcc1954_short,62,19,0.5588235294117647,4,0.25
559,hcc1954_short,61,20,0.5882352941176471,4,0.25
560,hcc1954_short,13,17,0.5,11,0.6875
561,hcc1954_short,7,18,0.5294117647058824,6,0.375
562,hcc1954_short,0,12,0.375,14,0.875
563,hcc1954_short,91,18,0.5625,4,0.25
564,hcc1954_short,15,17,0.5,12,0.75
565,hcc1954_short,8,17,0.53125,10,0.625
566,hcc1954_short,46,13,0.38235294117647056,21,1.3125
567,hcc1954_short,17,15,0.4411764705882353,16,1.0
568,hcc1954_short,6,13,0.40625,12,0.75
569,hcc1954_short,95,19,0.5588235294117647,9,0.5625
570,hcc1954_short,93,14,0.4117647058823529,9,0.5625
571,hcc1954_short,5,17,0.5,7,0.4375
572,hcc1954_short,86,21,0.6176470588235294,7,0.4375
573,hcc1954_short,90,15,0.4411764705882353,15,0.9375
574,hcc1954_short,4,20,0.5882352941176471,5,0.3125
575,hcc1954_short,70,16,0.47058823529411764,9,0.5625
576,hcc1954_short,10,18,0.5294117647058824,5,0.3125
577,hcc1954_short,65,18,0.5294117647058824,6,0.375
578,hcc1954_short,47,17,0.5,5,0.3125
579,hcc1954_short,72,14,0.4375,15,0.9375
580,hcc1954_short,87,14,0.4117647058823529,13,0.8125
581,hcc1954_short,71,17,0.5,13,0.8125
582,hcc1954_short,3,16,0.47058823529411764,6,0.375
583,hcc1954_short,66,17,0.5,5,0.3125
584,hcc1954_short,89,18,0.5294117647058824,9,0.5625
585,hcc1954_short,68,16,0.47058823529411764,5,0.3125
586,hcc1954_short,88,20,0.5882352941176471,7,0.4375
587,hcc1954_short,9,15,0.4411764705882353,10,0.625
588,hcc1954_short,2,15,0.4411764705882353,10,0.625
589,hcc1954_short,69,15,0.4411764705882353,7,0.4375
590,hcc1954_short,63,14,0.4117647058823529,19,1.1875
591,hcc1954_short,57,15,0.4411764705882353,11,0.6875
592,hcc1954_short,19,19,0.5588235294117647,7,0.4375
593,hcc1954_short,45,14,0.4117647058823529,11,0.6875
594,hcc1954_short,59,15,0.4411764705882353,11,0.6875
595,hcc1954_short,12,18,0.5294117647058824,7,0.4375
596,hcc1954_short,64,14,0.4375,10,0.625
597,hcc1954_short,48,15,0.4411764705882353,16,1.0
598,hcc1954_short,60,16,0.47058823529411764,5,0.3125
599,hcc1954_short,44,18,0.5294117647058824,10,0.625
600,hgf,18,27,0.1956521739130435,99,1.4558823529411764
601,hgf,45,23,0.16666666666666666,106,1.5588235294117647
602,hgf,34,29,0.21014492753623187,104,1.5294117647058822
603,hgf,97,25,0.18115942028985507,111,1.6323529411764706
604,hgf,59,26,0.18840579710144928,107,1.5735294117647058
605,hgf,60,26,0.18840579710144928,99,1.4558823529411764
606,hgf,51,24,0.17391304347826086,105,1.5441176470588236
607,hgf,64,19,0.13768115942028986,114,1.6764705882352942
608,hgf,55,25,0.18115942028985507,50,0.7352941176470589
609,hgf,62,19,0.13768115942028986,114,1.6764705882352942
610,hgf,99,22,0.15942028985507245,95,1.3970588235294117
611,hgf,98,25,0.18115942028985507,106,1.5588235294117647
612,hgf,61,25,0.18115942028985507,112,1.6470588235294117
613,hgf,20,23,0.16666666666666666,106,1.5588235294117647
614,hgf,15,22,0.15942028985507245,102,1.5
615,hgf,63,22,0.15942028985507245,109,1.6029411764705883
616,hgf,21,27,0.1956521739130435,100,1.4705882352941178
617,hgf,96,22,0.15942028985507245,105,1.5441176470588236
618,hgf,56,21,0.15217391304347827,108,1.588235294117647
619,hgf,2,24,0.17391304347826086,109,1.6029411764705883
620,hgf,52,26,0.18840579710144928,103,1.5147058823529411
621,hgf,12,23,0.16666666666666666,110,1.6176470588235294
622,hgf,44,23,0.16666666666666666,112,1.6470588235294117
623,hgf,43,23,0.16666666666666666,110,1.6176470588235294
624,hgf,95,23,0.16666666666666666,105,1.5441176470588236
625,hgf,50,26,0.18840579710144928,105,1.5441176470588236
626,hgf,19,23,0.16666666666666666,98,1.4411764705882353
627,hgf,11,26,0.18840579710144928,108,1.588235294117647
628,hgf,16,21,0.15217391304347827,103,1.5147058823529411
629,hgf,14,24,0.17391304347826086,102,1.5
630,hgf,42,27,0.1956521739130435,96,1.411764705882353
