,network,node,mut,robustness
730,mammalian,3,oe,1.0
731,mammalian,3,ko,1.0
732,mammalian,15,oe,1.0
733,mammalian,15,ko,0.0
734,mammalian,4,oe,1.0
735,mammalian,4,ko,0.0
736,mammalian,17,oe,0.0
737,mammalian,17,ko,1.0
738,mammalian,12,oe,0.0
739,mammalian,12,ko,1.0
740,mammalian,7,oe,1.0
741,mammalian,7,ko,0.0
742,mammalian,5,oe,1.0
743,mammalian,5,ko,1.0
744,mammalian,11,oe,1.0
745,mammalian,11,ko,0.0
746,mammalian,6,oe,1.0
747,mammalian,6,ko,1.0
748,mammalian,16,oe,1.0
749,mammalian,16,ko,1.0
750,mammalian,19,oe,1.0
751,mammalian,19,ko,1.0
752,mapk,0,oe,0.6
753,mapk,0,ko,1.0
754,mapk,1,oe,0.0
755,mapk,1,ko,0.0
756,mapk,2,oe,0.0
757,mapk,2,ko,1.0
758,mapk,3,oe,1.0
759,mapk,3,ko,0.0
760,mapk,19,oe,1.0
761,mapk,19,ko,0.0
762,mapk,4,oe,1.0
763,mapk,4,ko,0.0
764,mapk,40,oe,0.0
765,mapk,40,ko,1.0
766,mapk,21,oe,1.0
767,mapk,21,ko,0.0
768,mapk,5,oe,0.0
769,mapk,5,ko,1.0
770,mapk,6,oe,1.0
771,mapk,6,ko,1.0
772,mapk,29,oe,1.0
773,mapk,29,ko,0.0
774,mapk,7,oe,1.0
775,mapk,7,ko,1.0
776,mapk,51,oe,1.0
777,mapk,51,ko,0.0
778,mapk,8,oe,1.0
779,mapk,8,ko,0.0
780,mapk,45,oe,1.0
781,mapk,45,ko,0.0
782,mapk,49,oe,1.0
783,mapk,49,ko,0.0
784,mapk,9,oe,1.0
785,mapk,9,ko,0.0
786,mapk,10,oe,1.0
787,mapk,10,ko,1.0
788,mapk,28,oe,0.0
789,mapk,28,ko,1.0
790,mapk,11,oe,1.0
791,mapk,11,ko,0.0
792,mapk,16,oe,1.0
793,mapk,16,ko,0.0
794,mapk,12,oe,1.0
795,mapk,12,ko,1.0
796,mapk,13,oe,1.0
797,mapk,13,ko,1.0
798,mapk,15,oe,1.0
799,mapk,15,ko,0.0
800,mapk,30,oe,1.0
801,mapk,30,ko,1.0
802,mapk,48,oe,0.0
803,mapk,48,ko,0.0
804,mapk,14,oe,0.0
805,mapk,14,ko,0.0
806,mapk,50,oe,1.0
807,mapk,50,ko,0.0
808,mapk,31,oe,1.0
809,mapk,31,ko,0.0
810,mapk,17,oe,0.0
811,mapk,17,ko,1.0
812,mapk,38,oe,0.0
813,mapk,38,ko,1.0
814,mapk,18,oe,1.0
815,mapk,18,ko,1.0
816,mapk,24,oe,1.0
817,mapk,24,ko,1.0
818,mapk,25,oe,1.0
819,mapk,25,ko,0.0
820,mapk,42,oe,1.0
821,mapk,42,ko,1.0
822,mapk,20,oe,1.0
823,mapk,20,ko,0.0
824,mapk,22,oe,1.0
825,mapk,22,ko,1.0
826,mapk,47,oe,1.0
827,mapk,47,ko,0.2
828,mapk,23,oe,1.0
829,mapk,23,ko,0.0
830,mapk,52,oe,0.4
831,mapk,52,ko,0.6
832,mapk,37,oe,0.6
833,mapk,37,ko,0.4
834,mapk,26,oe,1.0
835,mapk,26,ko,1.0
836,mapk,43,oe,1.0
837,mapk,43,ko,0.0
838,mapk,44,oe,1.0
839,mapk,44,ko,1.0
840,mapk,35,oe,0.0
841,mapk,35,ko,1.0
842,mapk,27,oe,0.0
843,mapk,27,ko,1.0
844,mapk,32,oe,0.0
845,mapk,32,ko,0.0
846,mapk,39,oe,0.0
847,mapk,39,ko,1.0
848,mapk,36,oe,0.0
849,mapk,36,ko,0.0
850,mapk,33,oe,1.0
851,mapk,33,ko,1.0
852,mapk,34,oe,1.0
853,mapk,34,ko,1.0
854,mapk,41,oe,1.0
855,mapk,41,ko,1.0
856,mapk,46,oe,0.2
857,mapk,46,ko,1.0
858,oxidative,0,oe,1.0
859,oxidative,0,ko,0.0
860,oxidative,5,oe,0.0
861,oxidative,5,ko,0.0
862,oxidative,1,oe,0.0
863,oxidative,1,ko,0.0
864,oxidative,2,oe,0.3333333333333333
865,oxidative,2,ko,0.2222222222222222
866,oxidative,12,oe,0.4444444444444444
867,oxidative,12,ko,0.5555555555555556
868,oxidative,3,oe,0.6666666666666666
